PRODUCT_ART;CODENAME;DEPART_ID;BRAND_TITLE;COUNTRY;CATEGORY;PRODUCT_TITLE;COLOUR;SIZE;PIECESINPACK;PRODUCT_DESC;PRODUCT_PRICE;PRODUCT_QTY;PRODUCT_RESERVE;NEW_FLAG;DISCOUNT;PROFIT;BESTPRICE;SEASON_START;SEASON_END;ONMARCH;NO_ORDER
1000000340235;107748;3;G Van Dijk im & export b.v.;Италия;Хризантема / Хризантема кустовая;Балтика Еллоу Кустовая;Желтый;0;5;Хризантема Балтика Еллоу Кустовая;55,7;175;-645;0;0;0;;0;0;0;0
2000000551562;107507;3;G Van Dijk im & export b.v.;Колумбия;Другие цветы / Гидрангея;Гортензия Маргарита Классик Грин Пепл;Зеленый;60;5;Гортензия Маргарита Классик Грин Пепл. 60см;285;30;5;0;0;0;;0;0;0;0
1000000380040;12157;3;G Van Dijk im & export b.v.;Колумбия;Роза / Роза большеголовая;Гран При Ворн;Красный;60;20;Роза Гран При Ворн. ВОРН. 60см;60,8;80;-660;0;0;0;;0;0;0;0
2000000560199;101070;3;G Van Dijk im & export b.v.;Кения;Другие цветы / Гидрангея;Гортензия Мэдж Анконг Классик Грин Ред;Зеленый;55;5;Гортензия Мэдж Анконг Классик Грин Ред. 55см;268;15;5;0;0;0;;0;0;0;0
2000000602561;Cherry Brandy RSP;3;ROSAPRIMA;Эквадор;Роза Эквадор / Розаприма (RSP);Черри Бренди RSP;NA;60;25;Роза Эквадор Черри Бренди RSP. 60см;73,8;75;-25;0;0;0;;0;0;0;0
1000000264876;104556;3;G Van Dijk im & export b.v.;Италия;Хризантема / Сантини;Сантини Кантри;Зеленый;0;25;Хризантема Сантини Кантри;35,7;275;-4825;0;0;0;;0;0;0;0
1000000469424;Moon Walk TH;3;RED LANDS ROSES LTD;Кения;Роза Кения / Рэд Ланд Роузес (RLR);Мунволк RLR;NA;60;10;Роза Кения Мунволк RLR. 60см;73,9;10;10;0;0;0;;0;0;0;0
1000000162264;13747;3;G Van Dijk im & export b.v.;Франция;Другие цветы / Анемон;Анемон Марианна Блю;Пурпурный;0;50;Анемон Марианна Блю;54,3;50;-250;0;0;0;;0;0;0;0
1000000106985;20955;3;G Van Dijk im & export b.v.;Израиль;Хризантема / Хризантема кустовая;Вудпеккер Кустовая;Оранжевый;0;5;Хризантема Вудпеккер Кустовая;53,1;75;-380;0;0;0;;0;0;0;0
2000000637754;Alstro Florinca Paradiso BAT;3;BATIAN;Кения;Альстромерия / Альстромерия;Альстромерия Флоринка Парадизо Кустовая BAT;NA;0;5;Альстромерия Флоринка Парадизо Кустовая BAT;94,6;60;0;0;0;0;;0;0;0;0
1000000194418;26438;3;G Van Dijk im & export b.v.;Италия;Хризантема / Хризантема одиночная;Саратов од;Лиловый;0;10;Хризантема Саратов од;87,8;90;30;0;0;0;;0;0;0;0
2000000640389;118994;3;G Van Dijk im & export b.v.;Эфиопия;Роза / Роза кустовая;Кустовая Хот Пинк Лейс;Розовый;50;10;Роза Кустовая Хот Пинк Лейс. 50см;146;30;0;0;0;0;;0;0;0;0
2000000602578;Dark Engagement RSP;3;ROSAPRIMA;Эквадор;Роза Эквадор / Розаприма (RSP);Дак Эннэйджмент RSP;NA;70;25;Роза Эквадор Дак Эннэйджмент RSP. 70см;81,4;75;25;0;0;0;;0;0;0;0
1000000469561;Pushkin SP;3;RED LANDS ROSES LTD;Кения;Роза Кения / Рэд Ланд Роузес (RLR);Кустовая Пушкин RLR;NA;50;10;Роза Кения Кустовая Пушкин RLR. 50см;73,9;100;-320;0;0;0;;0;0;0;0
2000000633619;ABIES NOBILIS;3;WBE;Дания;Новый год и Рождество / Новый Год и Рождество;Нобилис Абиес;Зеленый;0;1;Нобилис Абиес;768;236;-141;0;0;0;;0;0;0;0
1000000096675;17573;3;G Van Dijk im & export b.v.;Китай;Зелень / Зелень декоративная шт.;Бамбук Кронкел;Зеленый;70;10;Бамбук Кронкел. 70см;110;8;-90;0;0;0;;0;0;0;0
1000000438734;115024;3;G Van Dijk im & export b.v.;Кения;Роза / Роза кустовая;Кустовая Роял Порселина;Белый;50;10;Роза Кустовая Роял Порселина. 50см;86,6;40;-330;0;0;0;;0;0;0;0
2000000613239;Sweetness RSP;3;ROSAPRIMA;Эквадор;Роза Эквадор / Розаприма (RSP);Свитнесс RSP;NA;70;25;Роза Эквадор Свитнесс RSP. 70см;81,4;100;50;0;0;0;;0;0;0;0
2000000606804;MAGIC AVALANCH GR SBT;3;SUBATI FLOWERS LTD;Кения;Роза Кения / Субати (SBT);Мэджик Аваланж SBT;NA;40;10;Роза Кения Мэджик Аваланж SBT. 40см;38,4;60;-180;0;0;0;;0;0;0;0
1000000400748;103506;3;G Van Dijk im & export b.v.;Кения;Другие цветы / Гидрангея;Гортензия Сюзанн Классик Ред Грин;Красно-зеленый;70;5;Гортензия Сюзанн Классик Ред Грин. 70см;286;10;0;0;0;0;;0;0;0;0
1000000360943;16207;3;G Van Dijk im & export b.v.;Колумбия;Роза / Роза большеголовая;Аваланж;Белый;40;20;Роза Аваланж. МК. 40см;39,9;700;-2538;0;0;0;;0;0;0;0
1000000198782;3945;3;G Van Dijk im & export b.v.;Италия;Другие цветы / Илекс;Илекс Голден Вербум;Золотой/Желтый;60;10;Илекс Голден Вербум. 60см;124;110;-70;0;0;0;;0;0;0;0
1000000472387;Queen SP;3;RED LANDS ROSES LTD;Кения;Роза Кения / Рэд Ланд Роузес (RLR);Кустовая Куин RLR;NA;50;10;Роза Кения Кустовая Куин RLR. 50см;73,9;110;-400;0;0;0;;0;0;0;0
1000000265071;104414;3;G Van Dijk im & export b.v.;Италия;Хризантема / Сантини;Сантини Баунсер;Белый;0;25;Хризантема Сантини Баунсер;32;400;-5200;0;0;0;;0;0;0;0
2000000560816;ANEMONI SUPER BLUE;3;PROMOFLOR SRL;Италия;Другие цветы / Анемон;Анемон Супер Блю (Ит);Синий;0;50;Анемон Супер Блю (Ит);104;150;-250;0;0;0;;0;0;0;0
1000000147179;24793;3;G Van Dijk im & export b.v.;Бельгия;Тюльпан / Тюльпан одиночный;Тюльпан Антарктика;Белый;0;50;Тюльпан Антарктика;39,9;450;-2700;0;0;0;;0;0;0;0
1000000279030;*1366D LILA;3;G Van Dijk im & export b.v.;Нидерланды;N/A / N/A;Беркен-Такен Фиолетовый;Коричневый;60;1;Беркен-Такен Фиолетовый. 60см;142;8;0;0;0;0;;0;0;0;0
1000000279054;Bercen-Taken Light p;3;G Van Dijk im & export b.v.;Нидерланды;N/A / N/A;Беркен-Такен Светло-розовый;NA;60;0;Беркен-Такен Светло-розовый. 60см;142;2;0;0;0;0;;0;0;0;0
1000000118704;2712;3;G Van Dijk im & export b.v.;Словакия;N/A / N/A;Тин Тин красный с блестками;NA;0;1;Тин Тин красный с блестками;645;17;0;0;0;0;;0;0;0;0
2000000615516;107485;3;G Van Dijk im & export b.v.;Германия;Роза / Роза кустовая;Кустовая Иришка Классик;Персиковый/Кремовый;50;10;Роза Кустовая Иришка Классик. 50см;105;10;-20;0;0;0;;0;0;0;0
2000000538112;26834;3;G Van Dijk im & export b.v.;Зимбабве;Другие цветы / Анигозантус;Анигозантус Буш Инферно;Красный;0;10;Анигозантус Буш Инферно;68,1;10;0;0;0;0;;0;0;0;0
1000000425727;377;3;G Van Dijk im & export b.v.;Кения;Другие цветы / Дельфиниум Белладонна;Дельфиниум Атлантис;Темно-синий;60;10;Дельфиниум Атлантис. 60см;105;10;-770;0;0;0;;0;0;0;0
2000000574677;Julieta SP;3;RED LANDS ROSES LTD;Кения;Роза Кения / Рэд Ланд Роузес (RLR);Кустовая Джульетта RLR;NA;70;5;Роза Кения Кустовая Джульетта RLR. 70см;176;5;-20;0;0;0;;0;0;0;0
1000000024548;16129;3;G Van Dijk im & export b.v.;Италия;Хризантема / Хризантема одиночная;Спайдер Спивио од;Белый;0;10;Хризантема Спайдер Спивио од;164;50;-20;0;0;0;;0;0;0;0
2000000595801;117921;3;G Van Dijk im & export b.v.;Израиль;Хризантема / Хризантема кустовая;Пина Колада Кустовая;Белый;0;5;Хризантема Пина Колада Кустовая;53,6;45;-125;0;0;0;;0;0;0;0
2000000616261;116739;3;G Van Dijk im & export b.v.;Кения;Роза / Роза большеголовая;Леди Маргарет;Розовый;70;20;Роза Леди Маргарет. 70см;59,8;10;0;0;0;0;;0;0;0;0
2000000636924;2195;3;G Van Dijk im & export b.v.;Германия;Новый год и Рождество / Новый Год и Рождество;Дек. Шишка Силвестер Ред Фростед;NA;0;25;Дек. Шишка Силвестер Ред Фростед;687;18;0;0;0;0;;0;0;0;0
2000000636146;R GR BURGUNDY WWF;3;WORLD FLOWERS B.V.;Словакия;Роза / Роза большеголовая;Бургунди WWF;NA;40;10;Роза Бургунди WWF. 40см.!;19,6;10;-950;0;0;0;;0;0;0;0
2000000559728;David Austin Edith ALF;3;ALEXANDRA FARMS S.A.S;Колумбия;Роза / Роза Дэвид Остин;Дэвид Остин Эдит ALF;NA;50;12;Роза Дэвид Остин Эдит ALF. 50см;135;12;0;0;0;0;;0;0;0;0
2000000587745;108394;3;G Van Dijk im & export b.v.;Кения;Роза / Роза большеголовая;Мелина Фрайланд;Розовый;60;20;Роза Мелина Фрайланд. 60см;75,4;20;-20;0;0;0;;0;0;0;0
2000000609805;Pink Lace CL WAR;3;Waridi;Кения;Роза Кения / Вариди (WAR);Кластер Пинк Лейс WAR;NA;60;10;Роза Кения Кластер Пинк Лейс WAR. 60см;181;10;0;0;0;0;;0;0;0;0
1000000433883;23577;3;G Van Dijk im & export b.v.;Эфиопия;Роза / Роза большеголовая;Тенга-Венга;Ярко-розовый;50;10;Роза Тенга-Венга. 50см.!;26,6;170;0;0;0;0;1;0;0;0;0
1000000285680;105962;3;G Van Dijk im & export b.v.;Италия;Хризантема / Хризантема одиночная;Том Пирс Дак од;Коричневый;0;10;Хризантема Том Пирс Дак од;149;130;0;0;0;0;;0;0;0;0
1000000304428;20371;3;G Van Dijk im & export b.v.;Франция;Другие цветы / Анемон;Анемон Марианна Панда;Белый;0;50;Анемон Марианна Панда;63,8;250;0;0;0;0;;0;0;0;0
