PRODUCT_ART;CODENAME;DEPART_ID;BRAND_TITLE;COUNTRY;CATEGORY;PRODUCT_TITLE;COLOUR;SIZE;PIECESINPACK;PRODUCT_DESC;PRODUCT_PRICE;PRODUCT_QTY;PRODUCT_RESERVE;NEW_FLAG;DISCOUNT;PROFIT;BESTPRICE;SEASON_START;SEASON_END;ONMARCH
2000000130903;;2;Art Fleur / Van Dijk;Нидерланды;Аксессуары для флористов / Лента;Лента Дели;Неопределённый;0;0;11004467000400020 Лента Дели. 20м.40мм;812;7;0;0;0;0;;0;0;0
2000000130910;;2;Art Fleur / Van Dijk;Нидерланды;Аксессуары для флористов / Лента;Лента Дели;Неопределённый;0;0;11004462000400020 Лента Дели. 20м.40мм;812;17;0;0;0;0;;0;0;0
2000000130927;;2;Art Fleur / Van Dijk;Нидерланды;Аксессуары для флористов / Лента;Лента Дели;Неопределённый;0;0;11004466000400020 Лента Дели. 20м.40мм;812;18;0;0;0;0;;0;0;0
2000000130934;;2;Art Fleur / Van Dijk;Нидерланды;Аксессуары для флористов / Лента;Лента Дели;Неопределённый;0;0;11004471000400020 Лента Дели. 20м.40мм;812;9;0;0;0;0;;0;0;0
2000000132402;;2;Van Dilliwijn;Нидерланды;Аксессуары для флористов / Упаковка;Упаковка для цветов "Дилвеб";Светло-коричневый;0;0;7981211 Упаковка для цветов "Дилвеб". Светло-коричневый. 25м.60см;1253;7;0;0;0;0;;0;0;0
2000000130958;;2;Art Fleur / Van Dijk;Нидерланды;Аксессуары для флористов / Лента;Лента Банни;Неопределённый;0;0;11020062000250020 Лента Банни. 20м.25мм;624;2;0;0;0;0;;0;0;0
2000000130965;;2;Art Fleur / Van Dijk;Нидерланды;Аксессуары для флористов / Лента;Лента Свинг;Неопределённый;0;0;11020666000250020 Лента Свинг. 20м.25мм;624;7;0;0;0;0;;0;0;0
2000000160153;;2;Hakbijl Glass / Van Dijk;Нидерланды;Предметы для интерьера / Стекло;Мартини;Прозрачный;0;0;01942 Мартини. Прозрачный. 50см;1726;15;0;0;0;0;;0;0;0
2000000341040;;2;Edelman;Португалия;Предметы для интерьера / Керамика;Горшок керамический "Луми";Коричневый;0;0;140411 Горшок керамический "Луми". Коричневый. 26см.28см;1076;1;0;0;0;0;;0;0;0
2000000135120;;2;Cinter b.v.;Нидерланды;Предметы для интерьера / Металл;Набор металлических кашпо ;Черный;0;0;77598 Набор металлических кашпо . Черный. ;6524;1;0;0;0;0;;0;0;0
2000000133386;;2;Cinter b.v.;Нидерланды;Предметы для интерьера / Стекло;Ваза стеклянная;Прозрачный;0;0;40552 Ваза стеклянная. Прозрачный. 50см.23,5см;2540;3;0;0;0;0;;0;0;0
2000000128696;;2;Edelman;Китай;Предметы для интерьера / Пластик;Кашпо "Рашель";Черный;0;0;321067 Кашпо "Рашель". Черный. 46см.51см;2058;3;0;0;0;0;;0;0;0
2000000113494;;2;Casablanca;Германия;Предметы для интерьера / Статуэтки, картины, сувениры;Композиция "Огонь";Серебряный;0;0;32305 Композиция "Огонь". Серебряный. ;9572;2;0;0;0;0;;0;0;0
2000000290447;;2;Hakbijl Glass;Нидерланды;Предметы для интерьера / Стекло;Ваза стеклянная "Алонсо";Медный;0;0;26070 Ваза стеклянная "Алонсо". Медный. 33,5см;1123;1;0;0;0;0;;0;0;0
2000000279190;;2;Smithers-Oasis Germany;Германия;Оазис / Оазис для живых цветов;Оазис крест большой;Зеленый;0;2;7445 Оазис крест большой. Зеленый. 4.5см.46см.31см;444;30;0;0;0;0;;0;0;0
2000000279220;;2;Smithers-Oasis Germany;Германия;Оазис / Оазис для живых цветов;Оазис медведь;Зеленый;0;2;8379 Оазис медведь. Зеленый. 5см.58см.46см;2492;3;0;0;0;0;;0;0;0
